,id_HDATA,Respondent.Serial.SourceFile,Respondent.Origin,Respondent.Origin.Other,DataCollection.Status,DataCollection.InterviewerID,DataCollection.StartTime,DataCollection.FinishTime,DataCollection.MetadataVersionNumber,DataCollection.MetadataVersionGUID,DataCollection.RoutingContext,DataCollection.Variant,DataCollection.EndQuestion,DataCollection.TerminateSignal,DataCollection.SeedValue,DataCollection.InterviewEngine,DataCollection.CurrentPage,DataCollection.Debug,DataCollection.QuotaID,DataCleaning.Note,DataCleaning.Status,DataCleaning.ReviewStatus,address,age,before,biology,expect,gen_ent,gender,museums,visits,visits12,adults,under16s,under11s,galleries,rating_ent[{dinosaurs}].rating_ent_grid,rating_ent[{whales}].rating_ent_grid,human,species,rating_ent[{mammals}].rating_ent_grid,genbalance,agebalance,_name,oth_mus,plan,prefer,school,signs,similar,sounds,side_main,serial,entrance,education,certificat,location,who_with,grp_type,group_org,resident,distance,interview,time_spent,long_short,remember,interest,found_way,signs_how,desc_leave,when_decid,why_decid,plan_time,plan_none,plan_view,know_way,find_way,desc_enter,visothers,plan_order[{first}].plan_order_grid,plan_order[{second}].plan_order_grid,plan_order[{third}].plan_order_grid,plan_order[{fourth}].plan_order_grid,plan_order[{fifth}].plan_order_grid,order[{sixth}].order_grid,order[{seventh}].order_grid,order[{eighth}].order_grid,order[{ninth}].order_grid,order[{tenth}].order_grid,order[{eleventh}].order_grid,order[{twelfth}].order_grid,order[{thirteenth}].order_grid,order[{fourteenth}].order_grid,order[{fifteenth}].order_grid,order[{sixteenth}].order_grid,rating[{other}].rating_grid,rating_ent[{dinosaurs}].rating_ent_grid,rating_ent[{conservation}].rating_ent_grid,rating_ent[{fish_and_reptiles}].rating_ent_grid,rating_ent[{fossils}].rating_ent_grid,rating_ent[{birds}].rating_ent_grid,rating_ent[{insects}].rating_ent_grid,rating_ent[{whales}].rating_ent_grid,rating_ent[{mammals}].rating_ent_grid,rating_ent[{minerals}].rating_ent_grid,rating_ent[{ecology}].rating_ent_grid,rating_ent[{botany}].rating_ent_grid,rating_ent[{origin_of_species}].rating_ent_grid,rating_ent[{human_biology}].rating_ent_grid,rating_ent[{evolution}].rating_ent_grid,rating_ent[{wildlife_in_danger}].rating_ent_grid,plan_order[{first}].plan_order_grid,plan_order[{second}].plan_order_grid,plan_order[{third}].plan_order_grid,plan_order[{fourth}].plan_order_grid,plan_order[{fifth}].plan_order_grid,rating_ent[{dinosaurs}].rating_ent_grid,rating_ent[{conservation}].rating_ent_grid,rating_ent[{fish_and_reptiles}].rating_ent_grid,rating_ent[{fossils}].rating_ent_grid,rating_ent[{birds}].rating_ent_grid,rating_ent[{insects}].rating_ent_grid,rating_ent[{whales}].rating_ent_grid,rating_ent[{mammals}].rating_ent_grid,rating_ent[{minerals}].rating_ent_grid,rating_ent[{ecology}].rating_ent_grid,rating_ent[{botany}].rating_ent_grid,rating_ent[{origin_of_species}].rating_ent_grid,rating_ent[{human_biology}].rating_ent_grid,rating_ent[{evolution}].rating_ent_grid,rating_ent[{wildlife_in_danger}].rating_ent_grid,@1
10,11,,,,177;,,2002-07-19 12:42:30.999,2002-07-20 10:52:31.000,,,186,,,,,,,,,,,,"34 King Street, Enfield",3,1,2,2.0,1,1,,1.0,0.0,2.0,0.0,0.0,,,,,,,0.887905657291412,0.792105317115784,James Lewis,2,2.0,,,,2, ,Main,11,1,2,,,2,2.0,,1,2.0,1,,,,,,,,3.0,2.0,6.0,1.0,,,,12;,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3;,3;,1;,1;,1;,1;,4;,4;,5;,3;,2;,1;,1;,4;,5;,1.0
11,12,,,,177;,,2002-07-19 12:42:30.999,2002-07-20 12:52:31.000,,,186,,,,,,,,,,,,"400 Foundry Lane, Longridge",1,1,2,1.0,2,2,1;2;,1.0,0.0,2.0,2.0,0.0,,,,,,,1.14448666572571,1.98026311397552,Barbara Ettling,1,2.0,,7.0,,2, ,Main,12,1,1,,,2,2.0,,1,3.0,1,,,,,,,,5.0,8.0,6.0,2.0,,1.0,,12;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3;,4;,4;,2;,3;,1;,3;,4;,5;,1;,2;,5;,5;,5;,5;,1.0
12,13,,,,177;,,2002-07-19 12:42:30.999,2002-07-20 14:52:31.000,,,186,,,,,,,,,,,, ,6,1,2,1.0,1,1,4;,1.0,0.0,2.0,0.0,0.0,,,,,,,0.887905657291412,1.36818182468414, ,1,2.0,,,,1, ,Main,13,1,2,,2;3;,2,2.0,,2,,1,,,,,,,,8.0,2.0,7.0,2.0,,2.0,2;,11;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4;,3;,4;,4;,3;,3;,4;,4;,4;,3;,2;,4;,4;,4;,3;,1.0
13,14,,,,177;,,2002-07-19 12:42:30.999,2002-07-20 16:52:31.000,,,186,,,,,,,,,,,,"85 Woodstock Drive,Worsley, Coventry",5,2,1,1.0,2,2,1;2;,,,4.0,2.0,2.0,,,,,,,1.14448666572571,0.826923131942749,Meena Patel,1,1.0,,,,2, ,Main,14,1,2,2;,,2,3.0,,1,7.0,1,,,,,,,,11.0,6.0,6.0,,1;3;4;7;,2.0,1;2;,2;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;,3;,7;,4;,;,5;,4;,5;,4;,5;,1;,4;,4;,1;,3;,3;,3;,4;,1;,4;,1.0
14,15,,,,177;,,2002-07-19 12:42:30.999,2002-07-20 18:52:31.000,,,186,,,,,,,,,,,,"376A Lawson Street, London EC1",4,1,2,1.0,1,1,,2.0,0.0,2.0,1.0,1.0,,,,,,,0.887905657291412,0.391927063465118,Javed Desai,2,1.0,,,,2, ,Main,15,1,2,,,2,3.0,,1,1.0,1,,,,,,,,9.0,6.0,8.0,,1;,2.0,1;3;,12;,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;,;,;,;,;,5;,4;,4;,4;,4;,4;,4;,5;,3;,1;,1;,4;,1;,3;,4;,1.0
15,16,,,,177;,,2002-07-19 12:42:30.999,2002-07-20 20:52:31.000,,,186,,,,,,,,,,,,"34C Field Road, Brighton",7,1,2,1.0,2,2,,3.0,0.0,3.0,2.0,2.0,,,,,,,1.14448666572571,2.28030300140381,Joanna Quicke,2,1.0,,,,1, ,Main,16,1,2,,4;,2,3.0,,1,6.0,1,,,,,,,,6.0,6.0,6.0,,1;,2.0,1;,12;,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;,;,;,;,;,5;,5;,4;,4;,5;,4;,5;,5;,5;,1;,5;,5;,1;,5;,5;,1.0
16,17,,,,177;,,2002-07-19 12:42:30.999,2002-07-20 22:52:31.000,,,186,,,,,,,,,,,,"37 Garston Old Road, Southend",7,1,2,2.0,2,2,6;,99.0,0.0,3.0,2.0,2.0,,,,,,,1.14448666572571,2.28030300140381,Jane Vernon,1,1.0,,,,2, ,Main,17,1,2,,,2,3.0,,1,5.0,1,,,,,,,,6.0,6.0,6.0,,1;7;,2.0,1;,10;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;,7;,;,;,;,5;,4;,5;,5;,5;,3;,5;,5;,5;,1;,3;,5;,3;,5;,5;,1.0
17,18,,,,177;,,2002-07-19 12:42:30.999,2002-07-21 00:52:31.000,,,186,,,,,,,,,,,,"128 Tagg Croft, Ingol",1,1,2,1.0,2,2,,1.0,1.0,3.0,1.0,0.0,,,,,,,1.14448666572571,1.98026311397552,Jenifer Gray,2,2.0,,7.0,,2, ,Main,18,1,1,,,2,3.0,,1,2.0,1,,,,,,,,2.0,8.0,12.0,1.0,,,,12;,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2;,4;,1;,3;,4;,3;,4;,2;,3;,1;,4;,3;,3;,2;,4;,1.0
18,19,,,,177;,,2002-07-19 12:42:30.999,2002-07-21 02:52:31.000,,,186,,,,,,,,,,,,"192 Langworthy Road, Brierton",1,1,2,7.0,1,1,7;,12.0,0.0,3.0,2.0,0.0,,,,,,,0.887905657291412,1.98026311397552,Robin Lambert,1,1.0,,7.0,,1, ,Main,19,1,1,,1;,2,3.0,,1,2.0,1,,,,,,,,1.0,3.0,7.0,,1;,2.0,3;,12;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;,;,;,;,;,5;,2;,4;,3;,4;,5;,5;,3;,3;,1;,2;,3;,4;,2;,4;,1.0
19,20,,,,177;,,2002-07-19 12:42:30.999,2002-07-21 04:52:31.000,,,186,,,,,,,,,,,, ,6,1,2,3.0,2,2,,9.0,0.0,4.0,1.0,0.0,,,,,,,1.14448666572571,1.36818182468414, ,2,2.0,,,,1, ,Main,20,1,2,,4;,2,3.0,,2,,1,,,,,,,,10.0,4.0,6.0,1.0,,,,12;,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3;,4;,1;,1;,1;,1;,3;,3;,4;,4;,1;,5;,2;,5;,5;,1.0
20,21,,,,177;,,2002-07-19 12:42:30.999,2002-07-21 06:52:31.000,,,186,,,,,,,,,,,,"513 Chestergate, Plymouth",5,2,2,3.0,2,2,2;,,,2.0,1.0,1.0,,,,,,,1.14448666572571,0.826923131942749,Alana McGhie,1,2.0,,,,2, ,Main,21,1,2,,,2,3.0,,1,7.0,1,,,,,,,,9.0,6.0,6.0,1.0,,,,2;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4;,4;,1;,5;,2;,1;,4;,5;,4;,1;,1;,2;,1;,1;,5;,1.0
21,22,,,,177;,,2002-07-19 12:42:30.999,2002-07-21 08:52:31.000,,,186,,,,,,,,,,,,"4 Alexandra Road South, London SE19",6,1,1,1.0,2,2,,3.0,1.0,2.0,1.0,0.0,,,,,,,1.14448666572571,1.36818182468414,Alberta Butterfield,2,1.0,,,,1, ,Main,22,1,2,5;,2;,2,3.0,,1,1.0,1,,,,,,,,1.0,2.0,8.0,,14;,1.0,,12;,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14;,;,;,;,;,5;,4;,4;,3;,4;,5;,5;,5;,1;,2;,4;,5;,4;,5;,5;,1.0
22,23,,,,177;,,2002-07-19 12:42:30.999,2002-07-21 10:52:31.000,,,186,,,,,,,,,,,,"43 Dale Street, Stanhope,London W2",4,2,2,3.0,2,2,,,,2.0,1.0,1.0,,,,,,,1.14448666572571,0.391927063465118,Helen Miller,2,2.0,,,,2, ,Main,23,1,2,,,2,3.0,,1,1.0,1,,,,,,,,1.0,6.0,4.0,2.0,,2.0,2;,2;,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4;,1;,4;,2;,3;,4;,4;,4;,1;,1;,3;,3;,1;,2;,1;,1.0
23,24,,,,177;,,2002-07-19 12:42:30.999,2002-07-21 12:52:31.000,,,186,,,,,,,,,,,,"16 North Road, Stokesley",3,1,2,1.0,1,1,,12.0,2.0,,,,,,,,,,0.887905657291412,0.792105317115784,Richard Ford,2,1.0,,7.0,,1, ,Main,24,1,1,,1;,1,,,1,3.0,1,,,,,,,,1.0,3.0,4.0,,;,2.0,4;,12;,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;,;,;,;,;,4;,4;,3;,5;,4;,3;,3;,3;,3;,3;,3;,5;,3;,5;,4;,1.0
24,25,,,,177;,,2002-07-19 12:42:30.999,2002-07-21 14:52:31.000,,,186,,,,,,,,,,,,"33 Village Cent, Sunningdale",7,2,2,3.0,1,1,3;,,,,,,,,,,,,0.887905657291412,2.28030300140381,Mervyn Page,1,2.0,,,,2, ,Main,25,1,2,,,1,,,1,4.0,1,,,,,,,,7.0,2.0,12.0,2.0,,2.0,4;,2;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4;,4;,3;,1;,1;,1;,5;,4;,4;,4;,3;,2;,4;,2;,5;,1.0
25,26,,,,177;,,2002-07-19 12:42:30.999,2002-07-21 16:52:31.000,,,186,,,,,,,,,,,,"Briarwood, Highfield Road, Halliwell",5,1,2,8.0,2,2,1;,1.0,0.0,4.0,2.0,1.0,,,,,,,1.14448666572571,0.826923131942749,Lorna Hobbs,1,2.0,,,,2, ,Main,26,1,2,,,2,3.0,,1,7.0,1,,,,,,,,5.0,2.0,8.0,1.0,,,,2;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4;,3;,4;,4;,3;,3;,4;,4;,4;,1;,4;,3;,4;,4;,3;,1.0
26,27,,,,177;,,2002-07-19 12:42:30.999,2002-07-21 18:52:31.000,,,186,,,,,,,,,,,,"10 Campbell Drive, Tredegar",5,2,2,3.0,1,1,,,,3.0,1.0,1.0,,,,,,,0.887905657291412,0.826923131942749,John Makin,2,1.0,,,,2, ,Main,27,1,2,,,2,3.0,,1,8.0,1,,,,,,,,11.0,6.0,10.0,,1;4;,2.0,1;,2;,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;,4;,;,;,;,5;,4;,5;,5;,5;,3;,5;,5;,3;,3;,1;,5;,2;,4;,5;,1.0
27,28,,,,177;,,2002-07-19 12:42:30.999,2002-07-21 20:52:31.000,,,186,,,,,,,,,,,,"54 St Wilfrids Court, Cantley",8,1,2,1.0,2,2,,2.0,1.0,2.0,0.0,0.0,,,,,,,1.14448666572571,4.703125,Veronica Philpott,2,2.0,,,,2, ,Main,28,1,2,,,2,2.0,,1,2.0,1,,,,,,,,11.0,8.0,10.0,1.0,,,,12;,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4;,3;,1;,3;,3;,1;,4;,4;,1;,2;,4;,3;,4;,3;,4;,1.0
28,29,,,,177;,,2002-07-19 12:42:30.999,2002-07-21 22:52:31.000,,,186,,,,,,,,,,,,"348 Victoria Avenue, Newcastle",4,1,2,3.0,1,1,7;,1.0,0.0,2.0,0.0,0.0,,,,,,,0.887905657291412,0.391927063465118,Hugh Davies,1,1.0,,,,1, ,Main,29,1,2,,1;,2,2.0,,1,8.0,1,,,,,,,,10.0,1.0,12.0,,1;,2.0,4;,12;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;,;,;,;,;,5;,2;,5;,4;,1;,1;,5;,1;,1;,1;,1;,4;,1;,4;,2;,1.0
29,30,,,,177;,,2002-07-19 12:42:30.999,2002-07-22 00:52:31.000,,,186,,,,,,,,,,,,"Rake House, Village Green, Burton",2,1,1,7.0,2,2,,3.0,0.0,2.0,0.0,0.0,,,,,,,1.14448666572571,0.917682945728302,Beatrice Glaisyer,2,2.0,,7.0,,1, ,Main,30,1,1,2;,2;,2,2.0,,1,6.0,1,,,,,,,,2.0,4.0,6.0,2.0,,2.0,2;,12;,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;,3;,1;,1;,4;,3;,3;,4;,2;,4;,1;,5;,5;,4;,5;,1.0
30,31,,,,177;,,2002-07-19 12:42:30.999,2002-07-22 02:52:31.000,,,186,,,,,,,,,,,, ,3,2,2,3.0,1,1,,,,2.0,0.0,0.0,,,,,,,0.887905657291412,0.792105317115784, ,2,2.0,,7.0,,2, ,Main,31,1,1,,,2,2.0,,2,,1,,,,,,,,8.0,2.0,6.0,2.0,,2.0,4;,12;,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4;,4;,3;,4;,3;,1;,2;,5;,5;,3;,2;,3;,4;,4;,5;,1.0
31,32,,,,177;,,2002-07-19 12:42:30.999,2002-07-22 04:52:31.000,,,186,,,,,,,,,,,, ,4,2,2,3.0,2,2,,,,3.0,1.0,0.0,,,,,,,1.14448666572571,0.391927063465118, ,2,2.0,,,,1, ,Main,32,1,2,,2;,2,4.0,,2,,1,,,,,,,,1.0,1.0,6.0,1.0,,,,12;,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5;,4;,5;,1;,5;,1;,5;,5;,4;,1;,1;,5;,5;,1;,1;,1.0
32,33,,,,177;,,2002-07-19 12:42:30.999,2002-07-22 06:52:31.000,,,186,,,,,,,,,,,,"193 Lancaster Road, Preesall, Aberdeen",5,2,1,2.0,2,2,,,,4.0,2.0,2.0,,,,,,,1.14448666572571,0.826923131942749,Patricia Pearson,2,1.0,,,,1, ,Main,33,1,2,5;,1;,2,3.0,,1,8.0,1,,,,,,,,4.0,2.0,4.0,,1;,2.0,2;4;,12;,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;,;,;,;,;,4;,5;,4;,5;,4;,1;,3;,4;,4;,5;,4;,4;,4;,4;,5;,1.0
33,34,,,,177;,,2002-07-19 12:42:30.999,2002-07-22 08:52:31.000,,,186,,,,,,,,,,,, ,2,2,2,1.0,2,2,,,,2.0,0.0,0.0,,,,,,,1.14448666572571,0.917682945728302, ,2,1.0,,7.0,,2, ,Main,34,1,1,,,2,2.0,,2,,1,,,,,,,,11.0,2.0,5.0,,4;,2.0,2;,12;,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4;,;,;,;,;,5;,3;,4;,5;,4;,3;,4;,4;,2;,4;,3;,5;,5;,5;,3;,1.0
34,35,,,,177;,,2002-07-19 12:42:30.999,2002-07-22 10:52:31.000,,,186,,,,,,,,,,,,"8 Birch Tree Lane, Goostrey",2,2,2,3.0,1,1,1;,,,2.0,0.0,0.0,,,,,,,0.887905657291412,0.917682945728302,Tristan Bertie,1,2.0,,7.0,,2, ,Main,35,1,1,,,2,2.0,,1,7.0,1,,,,,,,,1.0,2.0,4.0,1.0,,,,12;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5;,2;,1;,4;,3;,2;,5;,2;,5;,2;,1;,4;,4;,5;,5;,1.0
35,36,,,,177;,,2002-07-19 12:42:30.999,2002-07-22 12:52:31.000,,,186,,,,,,,,,,,, ,5,1,1,3.0,2,2,,1.0,0.0,2.0,0.0,0.0,,,,,,,1.14448666572571,0.826923131942749, ,2,2.0,,,,1, ,Main,36,1,2,4;,1;3;,2,3.0,,2,,1,,,,,,,,5.0,9.0,4.0,2.0,,2.0,4;,12;,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3;,4;,1;,1;,3;,3;,4;,4;,1;,4;,5;,4;,3;,4;,4;,1.0
